period,n,mc_maxc,mc_gft,mc_mbs,mc,b,b_sigma
1900-1970,513,5.599999999999999,,5.399999999999999,5.6,1.0124163685441212,0.0710412649916086
1970-1990,9740,3.3000000000000003,,3.6000000000000005,3.3,0.6526736324143543,0.006765470581229341
1990-2003,17563,3.3000000000000003,3.7000000000000006,3.1,3.3,0.9546395571576329,0.007935875272893713
2003-2012,113858,3.2,3.6000000000000005,4.400000000000001,3.2,1.350650947848589,0.0095235770774771
2012-2020,84945,3.2,3.1,3.900000000000001,3.2,0.8615158454757673,0.008390023687911608
2020+,77549,3.2,3.0,3.900000000000001,3.2,0.8178229676005074,0.006822640871028819
