cell_id,lat_c,lon_c,rate_mc_yr,rate_all_mc_yr,rate_m5.0_yr,rate_all_m5.0_yr,p_1d,p_all_1d,p_7d,p_all_7d,p_30d,p_all_30d,p_90d,p_all_90d
9008,37.375,27.125,0.8600478227657499,1.3310109351445243,0.00982313837523935,0.01422359198030613,2.6893925484605674e-05,3.894131426651626e-05,0.00018824229012559535,0.0002725573569868356,0.0008065032152960727,0.0011675800223892585,0.002417558828167299,0.0034986519295372442
20057,40.125,39.375,0.37356582944910705,0.47930856813928985,0.0042667264979974525,0.005122038689440037,1.1681592270718077e-05,1.4023279330532823e-05,8.176828029904382e-05,9.81588257104038e-05,0.0003503884146669467,0.00042061284733241333,0.0010507969708953846,0.0012613078709078351
23012,40.875,28.125,0.5008948192325119,0.6868450397189787,0.005721029680580469,0.0073398372174899714,1.5663202944993238e-05,2.0095177192591684e-05,0.00010963726869461787,0.00014065776049276835,0.00046978938282005167,0.0006026796886942076,0.0014087061459510108,0.001806949616568132
12054,38.125,38.625,0.9342536199388233,1.3602500135514835,0.010670688702768737,0.014536049759697408,2.9214326717319494e-05,3.979674336496153e-05,0.00020448236487957683,0.0002785439463643957,0.0008760586402867254,0.001193213612139199,0.002625874156993002,0.0035753712590934628
8055,37.125,38.875,0.3650582904080691,0.41510841761222494,0.004169556630205544,0.0044359761470071655,1.1415558744065635e-05,1.2144967035054854e-05,7.990617464559424e-05,8.501167180352542e-05,0.00034241008134272555,0.0003642848557270373,0.001026878550182575,0.0010924565051547708
5074,36.375,43.625,0.08036191067293581,0.11934129454258702,0.0009178631091702468,0.0012753177567177373,2.512969078383165e-06,3.49162362833777e-06,1.7590650934096175e-05,2.4441109379713666e-05,7.538632538584e-05,0.00010474340574861962,0.0002261419272916454,0.0003141973048518265
12067,38.125,41.875,0.14788550371717657,0.16235616965959015,0.0016890918484441866,0.0017349879341694665,4.624470753888943e-06,4.75012679934661e-06,3.237084618046282e-05,3.325041376134319e-05,0.00013872482022614374,0.00014249398920396228,0.00041611672962094115,0.00042742105689408394
30068,42.625,42.125,0.032062024441737065,0.06026362947676587,0.0003662002209001253,0.0006439956684779559,1.0026010603958468e-06,1.763162493451098e-06,7.0181863136564715e-06,1.2342072170934415e-05,3.0077594551314313e-05,5.289352252391133e-05,9.023006969588465e-05,0.00015867217454546
7003,36.875,25.875,0.4825011576362844,0.6728297157354983,0.005510944289623922,0.007190065157359468,1.5088029335696973e-05,1.9685131795843525e-05,0.0001056114248491058,0.00013778778524531354,0.00045254186686183306,0.0005903854204215575,0.001357011310839762,0.0017701108022126766
15006,38.875,26.625,2.3787193058725853,3.8229133936601865,0.027168825126837166,0.04085282761524848,7.438142282378823e-05,0.00011184269138275749,0.0005205537896512125,0.0007826362040996848,0.002229037675368195,0.003349845094592352,0.006672218274446529,0.010015908487463587
21052,40.375,38.125,0.10175091051765546,0.11421569862119828,0.0011621601117566725,0.0012205440631914413,3.1818159147434244e-06,3.3416619408255244e-06,2.227249880148996e-05,2.33913990859147e-05,9.545007365419078e-05,0.00010024500085825672,0.00028632288968255537,0.00030070485640143474
28006,42.125,26.625,0.11230150577541116,0.16817256416672607,0.001282664988828266,0.0017971437137213543,3.5117391831152034e-06,4.920299226496283e-06,2.458191530485543e-05,3.444158619336779e-05,0.00010534681111362687,0.00014759844621348162,0.00031600714065826985,0.00044272998595185076
16027,39.125,31.875,0.13535887658361642,0.15677007418493363,0.0015460174885646614,0.0016752932008681795,4.232756239841429e-06,4.5866922897541684e-06,2.962891744084928e-05,3.210640423911837e-05,0.0001269748939453086,0.00013759161766524475,0.0003808763160120243,0.0004127180612407688
23038,40.875,34.625,0.3059942143517979,0.47104843051987755,0.0034949492691397164,0.005033768319830384,9.568603828169486e-06,1.3781611589380738e-05,6.697830410573591e-05,9.646729262824394e-05,0.0002870182905923002,0.00041336573753281147,0.0008608077569238759,0.0012395846695316681
6002,36.625,25.625,0.9139427684768562,1.2860142761528106,0.010438705900012222,0.013742743851206714,2.857921077159542e-05,3.762487423708549e-05,0.00020003732402085195,0.00026334439326902714,0.0008570211223895008,0.001128130643748837,0.0025688605410251197,0.003380575330746316
7010,36.875,27.625,1.9086869361002143,3.7296606629335205,0.02180029457900361,0.03985630027059414,5.968417250179492e-05,0.00010911464963159201,0.000417714408743608,0.0007635525667430976,0.0017889764806944264,0.0032682656465481408,0.0053573338570440665,0.009772787168811803
